,precision,recall,f1-score,support
facebook,0.0,0.0,0.0,0.0
instagram,0.0,0.0,0.0,0.0
parler,0.0,0.0,0.0,0.0
tiktok,0.0,0.0,0.0,0.0
truth social,0.6666666666666666,1.0,0.8,2.0
twitter,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
twitter (x),1.0,0.8,0.888888888888889,10.0
youtube,1.0,0.5,0.6666666666666666,4.0
micro avg,0.5806451612903226,0.72,0.6428571428571428,25.0
macro avg,0.41666666666666663,0.37083333333333335,0.37777777777777777,25.0
weighted avg,0.8533333333333333,0.72,0.7662222222222222,25.0
samples avg,0.0013340250500259393,0.0013340250500259393,0.0013340250500259393,25.0
