,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.45454545454545453,0.7142857142857143,0.5555555555555556,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.11172161172161173,0.953125,0.2,64.0
Twitter (X),0.0,0.0,0.0,0.0
micro avg,0.10873146622734761,0.9295774647887324,0.19469026548672566,71.0
macro avg,0.08089529518100946,0.23820153061224492,0.10793650793650793,71.0
weighted avg,0.14552114552114553,0.9295774647887324,0.23505477308294212,71.0
samples avg,0.018027861240098333,0.018027861240098333,0.018027861240098333,71.0
