,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.45454545454545453,0.7142857142857143,0.5555555555555556,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.36809815950920244,0.9375,0.5286343612334802,64.0
Twitter (X),0.0,0.0,0.0,0.0
micro avg,0.3299492385786802,0.9154929577464789,0.4850746268656717,71.0
macro avg,0.11752051629352242,0.23596938775510207,0.1548842738270051,71.0
weighted avg,0.3766211322592554,0.9154929577464789,0.5312885634905863,71.0
samples avg,0.01775471182736957,0.01775471182736957,0.01775471182736957,71.0
