,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.5,0.7142857142857143,0.588235294117647,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.11753371868978806,0.953125,0.20926243567753003,64.0
Twitter (X),0.0,0.0,0.0,0.0
micro avg,0.11379310344827587,0.9295774647887324,0.20276497695852536,71.0
macro avg,0.08821910266996971,0.23820153061224492,0.11392824711359671,71.0
weighted avg,0.15524166191755545,0.9295774647887324,0.24662595693218942,71.0
samples avg,0.018027861240098333,0.018027861240098333,0.018027861240098333,71.0
