,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.4166666666666667,0.7142857142857143,0.5263157894736842,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.12474849094567404,0.96875,0.22103386809269163,64.0
Twitter (X),0.0,0.0,0.0,0.0
micro avg,0.11985688729874776,0.9436619718309859,0.21269841269841272,71.0
macro avg,0.07734502251604868,0.24043367346938777,0.10676423679519655,71.0
weighted avg,0.1535291561576029,0.9436619718309859,0.25113208569363454,71.0
samples avg,0.018301010652827097,0.018301010652827097,0.018301010652827097,71.0
