,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.625,0.7142857142857143,0.6666666666666666,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.9682539682539683,0.953125,0.9606299212598425,64.0
micro avg,0.868421052631579,0.9295774647887324,0.8979591836734694,71.0
macro avg,0.2655423280423281,0.27790178571428575,0.27121609798775154,71.0
weighted avg,0.934412027721887,0.9295774647887324,0.931647628553473,71.0
samples avg,0.018027861240098333,0.018027861240098333,0.018027861240098333,71.0
