,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.6666666666666666,0.8571428571428571,0.75,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.17415730337078653,0.96875,0.29523809523809524,64.0
Twitter (X),0.0,0.0,0.0,0.0
micro avg,0.1607565011820331,0.9577464788732394,0.2753036437246964,71.0
macro avg,0.12011771000535044,0.2608418367346939,0.14931972789115647,71.0
weighted avg,0.22271456454080288,0.9577464788732394,0.34007377598926897,71.0
samples avg,0.01857416006555586,0.01857416006555586,0.01857416006555586,71.0
