,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.45454545454545453,0.7142857142857143,0.5555555555555556,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.11278195488721804,0.9375,0.20134228187919465,64.0
Twitter (X),0.0,0.0,0.0,0.0
micro avg,0.10961214165261383,0.9154929577464789,0.1957831325301205,71.0
macro avg,0.08104677277609608,0.23596938775510207,0.10812826249067861,71.0
weighted avg,0.14647694781126952,0.9154929577464789,0.23626471731207527,71.0
samples avg,0.01775471182736957,0.01775471182736957,0.01775471182736957,71.0
