,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.75,0.8571428571428571,0.7999999999999999,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.96875,0.96875,0.96875,64.0
micro avg,0.8831168831168831,0.9577464788732394,0.918918918918919,71.0
macro avg,0.2864583333333333,0.3043154761904762,0.2947916666666666,71.0
weighted avg,0.9471830985915493,0.9577464788732394,0.952112676056338,71.0
samples avg,0.01857416006555586,0.01857416006555586,0.01857416006555586,71.0
