,precision,recall,f1-score,support
Facebook,0.0,0.0,0.0,0.0
Instagram,0.45454545454545453,0.7142857142857143,0.5555555555555556,7.0
LinkedIn,0.0,0.0,0.0,0.0
Snapchat,0.0,0.0,0.0,0.0
TikTok,0.0,0.0,0.0,0.0
Twitter,0.11969111969111969,0.96875,0.21305841924398625,64.0
Twitter (X),0.0,0.0,0.0,0.0
micro avg,0.11733800350262696,0.9436619718309859,0.20872274143302183,71.0
macro avg,0.0820337963195106,0.24043367346938777,0.10980199639993456,71.0
weighted avg,0.15270492735281468,0.9436619718309859,0.24682574254230996,71.0
samples avg,0.018301010652827097,0.018301010652827097,0.018301010652827097,71.0
