filename,gold,predicted,false_positives
/FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight-002150.jpg,set(),{'instagram'},{'instagram'}
/FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight-002151-002152.jpg,set(),{'instagram'},{'instagram'}
/FOXNEWSW_20200314_040000_Tucker_Carlson_Tonight-002155-002156.jpg,set(),{'instagram'},{'instagram'}
/FOXNEWSW_20210110_040000_Watters_World-000088.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-000335.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-000716.jpg,set(),{'youtube'},{'youtube'}
/FOXNEWSW_20210110_040000_Watters_World-000717.jpg,set(),{'youtube'},{'youtube'}
/FOXNEWSW_20210110_040000_Watters_World-000721.jpg,set(),{'youtube'},{'youtube'}
/FOXNEWSW_20210110_040000_Watters_World-000741.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-000743.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-000745.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-000746.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-000758.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-000762.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-000764.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-001340-001341.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-001346.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_040000_Watters_World-001612-001613.jpg,set(),{'instagram'},{'instagram'}
/FOXNEWSW_20210110_040000_Watters_World-003392-003393.jpg,set(),{'instagram'},{'instagram'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000599-000605.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000613-000619.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000627-000629.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000630.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000771-000777.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000785-000789.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000790-000791.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000799-000802.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000940.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000941-000942.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000943.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000955.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000956.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-000957.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-001444-001450.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-001494.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-001495.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-001496-001515.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-001997.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-001998-002003.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-002004.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-002011.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-002012-002017.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-002189.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-002190-002202.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-002203.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-002668.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-002669-002679.jpg,set(),{'twitter'},{'twitter'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-003118-003124.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-003132-003138.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_050000_Justice_With_Judge_Jeanine-003146-003150.jpg,set(),{'parler'},{'parler'}
/FOXNEWSW_20210110_060000_The_Greg_Gutfeld_Show-001165-001166.jpg,set(),{'instagram'},{'instagram'}
/FOXNEWSW_20220425_040000_The_Next_Revolution_With_Steve_Hilton-002616.jpg,set(),{'instagram'},{'instagram'}
/FOXNEWSW_20230122_040000_One_Nation_With_Brian_Kilmeade-001265-001268.jpg,set(),{'tiktok'},{'tiktok'}
/FOXNEWSW_20230122_040000_One_Nation_With_Brian_Kilmeade-001269-001271.jpg,set(),{'tiktok'},{'tiktok'}
/FOXNEWSW_20230122_040000_One_Nation_With_Brian_Kilmeade-001857-001861.jpg,set(),{'tiktok'},{'tiktok'}
/FOXNEWSW_20230122_040000_One_Nation_With_Brian_Kilmeade-001862-001863.jpg,set(),{'tiktok'},{'tiktok'}
/FOXNEWSW_20230122_040000_One_Nation_With_Brian_Kilmeade-001864-001866.jpg,set(),{'tiktok'},{'tiktok'}
