filename,logo_true,logo_pred,logo_fp,logo_fn,screenshot_true,screenshot_pred,screenshot_fp,screenshot_fn
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000000.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000001.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000002.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000003.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000004.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000005.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000006.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000007.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000008.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000009.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000010.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000011.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000012.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000013.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000014.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000015.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000016.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000017.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000018.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000019.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000020.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000021.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000022.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000023.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000024.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000025.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000026.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000027.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000028.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000029.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000030.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000031.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000032.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000033.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000034.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000035.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000036.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000037.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000038.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000039.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000040.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000041.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000042.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000043.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000044.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000045.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000046.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000047.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000048.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000049.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000050.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000051.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000052.jpg,True,False,False,True,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000053.jpg,True,True,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000054.jpg,True,True,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000055.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000056.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000057.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000058.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000059.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000060.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000061.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000062.jpg,False,False,False,False,False,False,False,False
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000063.jpg,False,False,False,False,False,False,False,False
