filename,Social Media Mention,Platform Identification,Mention Type,Social Media Logo,Social Media Logo Type,Social Media Post Screenshot,Social Media Screenshot Type,Post Context,Profile Mention
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000053.jpg,Yes,Twitter,"Call to Action, Platform Discussion",Yes,Twitter,No,N/A,N/A,"Yes, @ShannonBream"
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000318.jpg,Yes,Twitter,Primary Topic,Yes,Twitter,Yes,Twitter,The displayed tweet is an announcement from Donald Trump regarding Coronavirus tests and paid sick leave. It expresses the actions he has directed the Secretary of Treasury and the Secretary of Labor to take.,@realDonaldTrump
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-000334.jpg,Yes,Twitter,Primary Topic,Yes,Twitter,Yes,Twitter,"The Twitter post is a statement from Donald Trump encouraging Republicans and Democrats to come together to vote yes, likely regarding a bill to help small businesses during the Coronavirus Pandemic.",@realDonaldTrump
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001184.jpg,Yes,Twitter,"Primary Topic, Platform Discussion",Yes,Twitter,Yes,Twitter,Opinion - The post is a statement alleging that the US army brought the epidemic to Wuhan and demanding transparency and an explanation from the US.,@zlj517
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001319.jpg,Yes,Twitter,Supporting Evidence,Yes,Twitter,Yes,Twitter,"The Twitter post announces the teamwork to develop a vaccine in China with American partners, citing research projects and clinical trials. This gives information about news regarding the coronavirus vaccine.",@mikepillsbury
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-001323.jpg,Yes,Twitter,Primary Topic,Yes,Twitter,Yes,Twitter,News update/announcement about vaccine research in China,@mikepillsbury
FOXNEWSW_20200314_030000_Fox_News_at_Night_With_Shannon_Bream-003050.jpg,Yes,Twitter,Call to Action,Yes,Twitter,No,N/A,N/A,@FoxNews
FOXNEWSW_20200314_050000_Hannity-001318.jpg,Yes,Twitter,Primary Topic,Yes,Twitter,Yes,Twitter,The tweet informs people about support for H.R. 6201: Families First Coronavirus Response Act.,@realDonaldTrump
FOXNEWSW_20200314_050000_Hannity-001327.jpg,Yes,Twitter,Primary Topic,Yes,Twitter,Yes,Twitter,"The post is a statement about the Secretary of the Treasury and the Secretary of Labor issuing regulations that will provide flexibility to help small businesses. It also encourages Republicans and Democrats to ""VOTE YES!""",@realDonaldTrump
FOXNEWSW_20200314_050000_Hannity-001333.jpg,Yes,Twitter,"Primary Topic, Platform Discussion",Yes,Twitter,Yes,Twitter,The post is an announcement from Donald Trump about the health and well-being of American families. He expresses looking forward to signing a final bill.,@realDonaldTrump
FOXNEWSW_20200314_050000_Hannity-003116.jpg,Yes,Twitter,Supporting Evidence,Yes,Twitter,Yes,Twitter,The post is a statement regarding COVID-19 and its possible impact on people.,@JoeBiden
FOXNEWSW_20200314_050000_Hannity-003617.jpg,Yes,Twitter,Call to Action,Yes,Twitter,No,N/A,N/A,@BillHemmer
